                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96705,                 1.3157,                 2.5392,                0.89538,                0.02714,                0.98958,                0.51636,                0.32865,                0.02695,                0.98264,                0.51704,                0.34786,                0.74889,                 1.0073,                 2.9951,                0.80758,                0.00048,                0.00048,                0.00048
                      2,                0.82293,                0.97664,                  1.001,                0.86095,                0.02495,                0.90972,                  0.039,                0.02748,                0.02486,                0.90625,                 0.0385,                 0.0256,                0.78192,                 1.1539,                 3.1754,                0.90852,              0.0009703,              0.0009703,              0.0009703
                      3,                0.79143,                0.87595,                0.80769,                  0.864,                 0.9866,                0.25561,                0.66917,                0.50408,                 0.9866,                0.25561,                0.66513,                0.53827,                0.81539,                 1.0321,                 2.3807,                 0.8607,              0.0014507,              0.0014507,              0.0014507
                      4,                0.82191,                0.86667,                0.75669,                0.85906,                0.96257,                0.80367,                0.92883,                0.68859,                0.96257,                0.80367,                0.92584,                0.66986,                0.78882,                0.91408,                 1.5714,                0.86253,              0.0019212,              0.0019212,              0.0019212
                      5,                0.80312,                0.85055,                0.73001,                0.86083,                0.91666,                0.91661,                0.96212,                0.74813,                0.92331,                 0.9197,                0.96272,                0.67918,                0.77412,                 0.7576,                 1.2313,                0.87841,              0.0019208,              0.0019208,              0.0019208
                      6,                0.75021,                 0.7772,                0.68383,                0.85203,                0.97159,                0.96181,                0.98876,                0.77965,                0.96473,                0.94988,                0.97104,                0.70441,                0.67891,                0.90101,                0.81152,                0.84665,               0.001901,               0.001901,               0.001901
                      7,                0.72504,                0.77088,                0.64286,                 0.8475,                   0.97,                0.96181,                0.98541,                0.78963,                0.96635,                0.95833,                0.98075,                 0.7207,                0.64854,                0.88388,                0.69309,                0.85472,              0.0018812,              0.0018812,              0.0018812
                      8,                0.69267,                0.75164,                0.60048,                0.84291,                0.96994,                0.94792,                0.97727,                0.77465,                0.96639,                0.94444,                0.97206,                0.73463,                0.64577,                0.82051,                0.66922,                0.85298,              0.0018614,              0.0018614,              0.0018614
                      9,                0.67484,                 0.7693,                0.57553,                0.83712,                 0.9857,                0.95737,                0.98633,                 0.7865,                 0.9857,                0.95748,                0.98014,                0.70499,                0.66348,                0.74932,                0.60365,                0.83784,              0.0018416,              0.0018416,              0.0018416
                     10,                0.67002,                 0.7052,                0.55841,                 0.8347,                0.98949,                0.98049,                0.98686,                0.80598,                0.98598,                0.97701,                0.98277,                0.72065,                0.61571,                0.66161,                0.58706,                0.83211,              0.0018218,              0.0018218,              0.0018218
                     11,                0.64119,                0.69711,                0.54705,                0.82627,                0.99296,                0.98009,                0.99257,                0.79788,                0.98241,                0.96977,                0.98146,                0.71427,                0.55791,                 0.6838,                0.56414,                0.83139,               0.001802,               0.001802,               0.001802
                     12,                0.62368,                0.67099,                0.52502,                0.82533,                0.97858,                0.97917,                0.98777,                0.80809,                0.97568,                0.96181,                0.98091,                 0.7324,                0.55329,                0.69762,                0.53773,                0.82982,              0.0017822,              0.0017822,              0.0017822
                     13,                0.63962,                0.68289,                0.51668,                0.83113,                0.96529,                0.96575,                0.98815,                0.80808,                0.97441,                0.95833,                0.98079,                0.72687,                0.57893,                0.69758,                0.50331,                0.84862,              0.0017624,              0.0017624,              0.0017624
                     14,                0.62324,                0.66851,                0.50521,                0.82672,                0.98943,                0.97508,                0.99387,                0.82741,                0.99293,                0.97524,                0.99207,                0.72508,                0.54916,                0.65999,                0.47178,                0.84211,              0.0017426,              0.0017426,              0.0017426
                     15,                0.61789,                0.65572,                0.48952,                 0.8303,                0.99311,                0.97569,                0.99206,                0.80335,                0.98245,                0.97177,                0.98394,                0.67937,                0.58109,                0.65317,                 0.5057,                0.84176,              0.0017228,              0.0017228,              0.0017228
                     16,                0.62075,                0.68575,                0.47539,                0.82084,                0.98527,                0.97917,                0.99086,                0.82399,                0.98249,                0.97406,                0.98719,                 0.7437,                0.54268,                0.58188,                0.46558,                0.82807,               0.001703,               0.001703,               0.001703
                     17,                0.60223,                  0.638,                0.47012,                0.82309,                0.98942,                 0.9741,                0.99075,                 0.8165,                0.97566,                0.97431,                0.98262,                0.69472,                0.57215,                0.73771,                0.47138,                0.85056,              0.0016832,              0.0016832,              0.0016832
                     18,                0.61033,                0.65916,                0.46158,                0.82392,                0.98607,                0.98307,                0.99091,                0.81578,                0.99156,                0.97917,                0.98492,                0.72976,                0.53965,                0.57593,                0.44955,                0.83119,              0.0016634,              0.0016634,              0.0016634
                     19,                0.60762,                  0.638,                 0.4626,                0.82345,                0.99142,                0.97222,                0.99346,                0.83231,                0.98788,                0.96875,                 0.9842,                0.74466,                0.51464,                0.62674,                0.44681,                0.82347,              0.0016436,              0.0016436,              0.0016436
                     20,                0.60827,                0.64374,                0.46367,                0.82139,                0.98601,                0.97874,                0.99208,                0.82863,                0.97256,                0.98471,                0.98853,                0.72817,                 0.4997,                0.63681,                0.43889,                0.82737,              0.0016238,              0.0016238,              0.0016238
