                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38494,                0.43552,                0.25667,                0.78863,                      1,                0.98925,                0.99497,                0.90577,                0.99598,                0.98264,                0.99298,                0.78748,                 0.5068,                0.70991,                0.28817,                0.80578,                 0.0024,                 0.0024,                 0.0024
                      2,                0.45261,                0.42246,                0.32203,                0.79325,                 0.9956,                0.99653,                0.99497,                0.86088,                0.99954,                0.98611,                 0.9942,                0.77241,                0.58006,                0.67077,                0.38899,                0.81139,              0.0048976,              0.0048976,              0.0048976
                      3,                0.54906,                0.45661,                0.38014,                0.79596,                      1,                0.98239,                0.99466,                0.85898,                0.99492,                0.97569,                0.98811,                0.75169,                0.62393,                0.74042,                0.42916,                0.81612,              0.0073927,              0.0073927,              0.0073927
                      4,                0.59974,                0.45038,                0.40691,                0.80894,                0.98269,                0.98544,                0.98937,                0.82442,                0.97909,                0.97557,                0.98206,                0.74051,                0.69647,                 0.7362,                 0.4785,                0.83715,              0.0098853,              0.0098853,              0.0098853
                      5,                0.56181,                0.50573,                0.38913,                0.81741,                0.97855,                0.93403,                0.97404,                0.80086,                  0.964,                0.92014,                0.96159,                0.70701,                 0.7678,                 1.0021,                0.50289,                0.85655,              0.0099802,              0.0099802,              0.0099802
                      6,                0.59793,                0.53598,                0.38848,                0.82336,                0.97027,                0.90653,                 0.9653,                0.79858,                0.98053,                0.88194,                0.95614,                0.68967,                0.75601,                 1.0464,                0.47497,                0.85838,              0.0099753,              0.0099753,              0.0099753
                      7,                0.56671,                 0.5332,                0.36268,                 0.8188,                0.95391,                 0.9342,                0.98197,                0.82338,                0.94341,                0.92708,                0.97103,                0.70825,                0.62609,                0.99266,                0.42972,                0.84534,              0.0099703,              0.0099703,              0.0099703
                      8,                0.59588,                0.54172,                0.37862,                0.81728,                0.99561,                0.99306,                0.99497,                0.86784,                0.98954,                0.98611,                0.98882,                0.77218,                0.61364,                 0.7997,                0.40369,                 0.8262,              0.0099654,              0.0099654,              0.0099654
                      9,                0.56351,                0.53036,                0.37981,                 0.8183,                0.82148,                0.70139,                0.75968,                0.57854,                0.83548,                0.61717,                 0.7055,                0.48452,                0.84952,                 1.7656,                0.79432,                0.92154,              0.0099604,              0.0099604,              0.0099604
                     10,                0.57239,                0.51383,                0.38574,                0.81865,                0.96893,                0.97446,                0.98998,                0.83527,                0.98213,                0.95439,                 0.9837,                0.73216,                0.66215,                0.89771,                 0.4559,                 0.8366,              0.0099555,              0.0099555,              0.0099555
                     11,                0.54372,                0.51571,                0.37001,                0.82144,                0.98943,                0.98611,                0.99466,                0.87993,                0.98943,                0.98611,                0.99459,                0.76115,                0.58003,                0.74101,                0.36828,                0.83352,              0.0099505,              0.0099505,              0.0099505
                     12,                0.55782,                0.53216,                0.34241,                0.82119,                  0.999,                0.98958,                0.99476,                0.86896,                0.99199,                0.98264,                0.98914,                0.77376,                0.59838,                0.83957,                0.36604,                0.82903,              0.0099456,              0.0099456,              0.0099456
                     13,                0.56451,                0.52839,                0.36188,                0.81808,                0.99646,                0.97793,                0.99188,                0.85864,                0.99292,                0.97445,                0.98536,                0.76652,                0.61362,                 0.7752,                0.41054,                 0.8266,              0.0099406,              0.0099406,              0.0099406
                     14,                0.54572,                0.50738,                0.35948,                0.80977,                0.99555,                0.98611,                0.99479,                 0.8689,                0.99555,                0.98611,                0.98983,                0.77043,                0.59996,                0.77204,                0.38943,                0.82434,              0.0099357,              0.0099357,              0.0099357
                     15,                0.55018,                0.49372,                0.37486,                0.81199,                0.99872,                0.98958,                0.99476,                0.87056,                0.98931,                0.97917,                0.98425,                0.77497,                0.59472,                0.68101,                0.40624,                0.82328,              0.0099307,              0.0099307,              0.0099307
                     16,                0.52025,                0.49596,                0.35094,                 0.8168,                0.99453,                0.98611,                0.99228,                0.88331,                0.98746,                0.97917,                0.98744,                0.79136,                0.57561,                0.70073,                0.36076,                0.82761,              0.0099258,              0.0099258,              0.0099258
                     17,                0.53867,                0.51177,                0.34393,                0.81628,                0.99493,                0.98958,                0.99441,                 0.8799,                 0.9883,                0.98264,                0.98989,                0.78881,                  0.569,                0.74746,                0.35678,                0.82674,              0.0099208,              0.0099208,              0.0099208
                     18,                0.52271,                0.48994,                0.34765,                0.81537,                      1,                0.98594,                0.99277,                0.87903,                0.99296,                0.97899,                 0.9906,                0.78693,                0.59949,                0.74746,                0.37732,                0.82296,              0.0099159,              0.0099159,              0.0099159
                     19,                0.52753,                0.50006,                0.34772,                0.81126,                0.99573,                0.95486,                0.98811,                0.85826,                0.98484,                0.94444,                0.97534,                0.73002,                0.59447,                0.93144,                0.37664,                0.83462,              0.0099109,              0.0099109,              0.0099109
                     20,                0.55754,                0.50374,                0.35022,                0.81174,                0.99751,                0.98958,                0.99486,                 0.8816,                0.99515,                0.98611,                0.99414,                0.80982,                0.63947,                0.70269,                0.36362,                0.81887,               0.009906,               0.009906,               0.009906
                     21,                0.52801,                0.49273,                0.34866,                0.81238,                0.99585,                0.99306,                0.99497,                0.88069,                0.98189,                0.97917,                0.98892,                0.78535,                0.64254,                0.70611,                0.38776,                0.82687,               0.009901,               0.009901,               0.009901
                     22,                0.53478,                0.51201,                0.35075,                0.81354,                      1,                0.98846,                0.99497,                0.86679,                0.98946,                0.97805,                0.98992,                0.77323,                0.63812,                0.78823,                 0.3904,                0.82857,              0.0098961,              0.0098961,              0.0098961
                     23,                0.50884,                0.46807,                0.35175,                0.81235,                0.99583,                0.98611,                0.99444,                0.88064,                0.99232,                0.98264,                0.99267,                0.77388,                0.57679,                0.73163,                0.36847,                0.82035,              0.0098911,              0.0098911,              0.0098911
                     24,                 0.5146,                 0.4777,                0.34842,                0.81506,                0.99526,                0.96875,                0.99146,                0.87803,                0.99526,                0.96875,                0.98745,                0.76551,                0.59615,                0.82768,                0.35655,                0.83156,              0.0098861,              0.0098861,              0.0098861
                     25,                0.51835,                  0.499,                0.33419,                0.81365,                0.99892,                0.98611,                0.99486,                0.89011,                 0.9954,                0.98264,                 0.9926,                0.77765,                0.55176,                 0.7377,                0.35218,                0.82078,              0.0098812,              0.0098812,              0.0098812
                     26,                0.50999,                0.49321,                   0.34,                0.81108,                0.99898,                0.98611,                0.99493,                0.87772,                0.99195,                0.97917,                0.98896,                0.77448,                 0.5511,                0.72408,                0.34093,                0.82128,              0.0098763,              0.0098763,              0.0098763
                     27,                 0.5024,                0.48927,                0.33584,                0.81011,                      1,                0.99248,                  0.995,                 0.8898,                 0.9965,                0.98901,                0.99238,                0.80089,                0.56219,                0.67512,                0.36288,                0.81807,              0.0098713,              0.0098713,              0.0098713
                     28,                0.49541,                0.47726,                0.33639,                0.80998,                      1,                0.99272,                  0.995,                0.88086,                0.99649,                0.98511,                0.99142,                0.77308,                0.56927,                0.70361,                0.35337,                0.82608,              0.0098664,              0.0098664,              0.0098664
                     29,                 0.5156,                0.48926,                0.34842,                0.80998,                      1,                 0.9927,                  0.995,                0.88607,                0.98951,                0.98231,                0.98892,                 0.7796,                 0.5663,                0.69929,                 0.3608,                0.82636,              0.0098614,              0.0098614,              0.0098614
                     30,                0.51133,                0.49437,                 0.3318,                 0.8151,                0.98848,                0.95833,                0.97832,                0.82386,                0.97969,                0.94444,                0.96241,                 0.7293,                0.63162,                0.96833,                0.40987,                0.83876,              0.0098565,              0.0098565,              0.0098565
                     31,                0.51129,                0.49773,                0.33371,                0.81168,                0.99965,                0.99306,                  0.995,                0.87704,                0.98822,                0.97917,                0.98585,                0.77936,                0.59748,                0.77279,                0.36857,                0.82626,              0.0098515,              0.0098515,              0.0098515
                     32,                0.52165,                0.50949,                0.33359,                0.80926,                0.99634,                0.98958,                0.99486,                0.88289,                0.98935,                0.98264,                0.99195,                0.78324,                0.58245,                0.72559,                0.35798,                0.81934,              0.0098466,              0.0098466,              0.0098466
                     33,                 0.5033,                0.47168,                0.33676,                0.80805,                0.99522,                0.98611,                0.99442,                0.88684,                0.99522,                0.98611,                 0.9924,                0.77478,                0.54079,                0.67163,                0.34557,                0.81855,              0.0098416,              0.0098416,              0.0098416
                     34,                0.51214,                0.49761,                0.33343,                0.81019,                0.98841,                0.97917,                0.99195,                0.89732,                0.99191,                0.98264,                0.99045,                0.78379,                0.52943,                0.75774,                0.33447,                0.81484,              0.0098367,              0.0098367,              0.0098367
                     35,                0.49017,                0.47903,                0.32967,                0.80876,                      1,                0.98943,                0.99497,                0.88225,                      1,                0.98943,                0.99497,                0.78412,                0.55238,                0.75216,                0.35108,                0.81596,              0.0098317,              0.0098317,              0.0098317
                     36,                0.50269,                0.48002,                0.33661,                0.80594,                0.99921,                0.98611,                0.99162,                0.87409,                0.98863,                0.97569,                0.98367,                0.75786,                0.57689,                0.77257,                0.35502,                0.82334,              0.0098268,              0.0098268,              0.0098268
                     37,                0.52574,                0.50086,                0.32605,                0.81056,                0.99301,                 0.9866,                 0.9917,                0.86187,                0.97558,                0.97114,                0.98144,                0.73791,                0.57179,                0.85244,                0.35017,                0.82764,              0.0098218,              0.0098218,              0.0098218
                     38,                0.49885,                0.50041,                0.32876,                0.80791,                0.99298,                0.98611,                0.99071,                0.88389,                0.98248,                0.97569,                0.98386,                0.76874,                0.57843,                0.71886,                0.37878,                0.81791,              0.0098169,              0.0098169,              0.0098169
                     39,                0.49066,                 0.4554,                0.34212,                0.80838,                0.99643,                0.96822,                0.99241,                0.87929,                0.99285,                0.96475,                 0.9861,                0.78252,                0.53976,                0.79648,                0.36507,                0.82598,              0.0098119,              0.0098119,              0.0098119
                     40,                0.49066,                0.47886,                0.31893,                 0.8101,                0.99987,                0.98958,                0.99497,                0.88332,                0.98935,                0.97917,                0.98866,                 0.7779,                0.54674,                0.68102,                0.34915,                 0.8163,               0.009807,               0.009807,               0.009807
                     41,                0.49789,                0.48273,                0.32672,                0.80901,                0.99799,                0.97917,                0.99237,                0.88861,                0.99105,                0.97222,                0.98683,                0.76947,                0.54775,                0.75948,                0.33993,                 0.8223,               0.009802,               0.009802,               0.009802
                     42,                0.50403,                0.49397,                0.33655,                0.80509,                 0.9992,                0.98611,                0.99429,                0.88337,                0.99565,                0.98264,                0.99217,                  0.787,                0.55167,                0.63606,                0.35276,                0.81613,               0.009797,               0.009797,               0.009797
                     43,                0.48305,                0.45544,                0.32037,                0.80538,                      1,                0.98598,                0.99187,                0.89152,                0.99648,                0.98257,                 0.9901,                0.78646,                0.51831,                0.70311,                0.32735,                0.81367,              0.0097921,              0.0097921,              0.0097921
                     44,                0.50489,                0.48308,                0.32904,                0.80735,                      1,                 0.9859,                0.99469,                0.88816,                0.99648,                0.98246,                0.99052,                0.75793,                0.52158,                0.67685,                 0.3389,                0.81678,              0.0097871,              0.0097871,              0.0097871
                     45,                0.49978,                0.48284,                0.32669,                0.80759,                0.99653,                0.99629,                  0.995,                0.89651,                0.98689,                0.98264,                0.98893,                0.79676,                0.52436,                0.70446,                0.33491,                0.81568,              0.0097822,              0.0097822,              0.0097822
                     46,                 0.4801,                 0.4805,                 0.3144,                0.80602,                0.99912,                0.98958,                0.99493,                0.89103,                0.99912,                0.98958,                0.99493,                0.78857,                0.55244,                0.72769,                 0.3441,                0.82271,              0.0097773,              0.0097773,              0.0097773
                     47,                0.49053,                 0.4712,                 0.3284,                0.80755,                0.99651,                0.99195,                0.99497,                0.89133,                0.99302,                0.98848,                0.99294,                 0.7844,                0.54006,                0.72303,                 0.3485,                0.81949,              0.0097723,              0.0097723,              0.0097723
                     48,                0.48316,                0.47528,                0.32569,                0.81038,                0.99511,                0.98264,                0.99462,                0.88714,                0.98615,                0.98873,                0.99458,                0.77858,                 0.5532,                0.66919,                0.35136,                0.81832,              0.0097674,              0.0097674,              0.0097674
                     49,                0.48445,                0.47025,                0.33225,                0.80824,                0.99527,                0.98958,                0.99446,                0.89319,                0.99649,                 0.9852,                0.99215,                0.80176,                0.51884,                 0.6476,                 0.3502,                0.81036,              0.0097624,              0.0097624,              0.0097624
                     50,                0.48477,                0.46885,                0.31752,                0.81285,                0.98854,                0.97569,                0.98497,                0.87872,                 0.9815,                0.96875,                0.98085,                0.76212,                0.52643,                 0.7251,                0.34893,                0.81544,              0.0097575,              0.0097575,              0.0097575
                     51,                0.47748,                0.47715,                0.32627,                0.80673,                      1,                0.97801,                0.99053,                0.88875,                      1,                0.97801,                0.98935,                0.78031,                0.52314,                0.72565,                0.33377,                0.81407,              0.0097525,              0.0097525,              0.0097525
                     52,                0.49453,                0.48017,                0.32468,                0.80881,                0.99862,                0.98611,                 0.9949,                0.89773,                0.99505,                0.98264,                0.99301,                0.78772,                0.51878,                0.66567,                0.31858,                0.81375,              0.0097476,              0.0097476,              0.0097476
                     53,                0.47825,                0.46012,                 0.3024,                0.80676,                0.99649,                0.98516,                0.99098,                0.89899,                0.99298,                0.98169,                0.98969,                0.78482,                0.53186,                0.69711,                0.33699,                0.81062,              0.0097426,              0.0097426,              0.0097426
                     54,                0.47594,                0.46741,                0.31434,                0.80397,                      1,                0.98607,                0.99444,                0.88693,                0.99579,                0.97917,                 0.9905,                0.76866,                0.53524,                0.76777,                0.34411,                0.82009,              0.0097377,              0.0097377,              0.0097377
                     55,                 0.4988,                0.49638,                0.32372,                0.80397,                0.98907,                0.99306,                 0.9949,                0.89345,                0.99649,                0.98521,                0.99269,                0.77727,                0.54077,                0.71347,                0.33265,                0.81994,              0.0097327,              0.0097327,              0.0097327
                     56,                0.47875,                0.49385,                 0.3085,                0.80268,                      1,                0.98896,                 0.9942,                0.89037,                0.99649,                0.98548,                0.99255,                0.79795,                0.54589,                0.75284,                0.32645,                0.81809,              0.0097278,              0.0097278,              0.0097278
                     57,                 0.4775,                0.46782,                0.30925,                0.80218,                0.99303,                 0.9889,                0.99318,                 0.8915,                0.99224,                0.98611,                0.99069,                0.79645,                0.54362,                0.79092,                0.33053,                0.81496,              0.0097228,              0.0097228,              0.0097228
                     58,                0.47074,                0.46357,                0.31547,                0.80333,                0.99895,                0.98958,                0.99486,                0.89479,                0.99544,                0.98611,                0.99038,                0.79997,                0.53108,                0.70321,                0.32675,                0.81347,              0.0097179,              0.0097179,              0.0097179
                     59,                0.47235,                0.49107,                0.31083,                0.80512,                0.99335,                0.98264,                0.99231,                0.88553,                0.99145,                0.98611,                0.99398,                0.78073,                0.52678,                0.73287,                0.32811,                0.81685,              0.0097129,              0.0097129,              0.0097129
                     60,                0.48344,                 0.4722,                 0.3267,                 0.8057,                 0.9958,                0.98611,                  0.993,                0.89876,                 0.9958,                0.98611,                  0.993,                0.79613,                0.50718,                 0.6709,                0.31818,                0.80865,               0.009708,               0.009708,               0.009708
                     61,                0.46877,                0.47001,                0.31516,                0.80662,                      1,                0.98907,                0.99497,                0.89407,                0.99947,                0.98611,                 0.9925,                 0.8018,                0.53406,                  0.665,                0.33513,                0.81159,               0.009703,               0.009703,               0.009703
                     62,                0.47754,                0.47216,                0.32865,                0.80584,                      1,                0.98927,                0.99213,                 0.8923,                0.99598,                0.98264,                 0.9891,                0.80146,                0.52448,                0.70894,                0.34103,                0.80886,               0.009698,               0.009698,               0.009698
                     63,                0.46825,                0.45939,                0.31318,                0.80598,                 0.9965,                0.98896,                 0.9949,                0.88226,                0.99235,                0.98264,                0.99018,                0.77811,                0.55174,                0.77645,                0.33575,                0.81566,              0.0096931,              0.0096931,              0.0096931
                     64,                0.47369,                0.46235,                0.31754,                0.80463,                0.99303,                0.98913,                0.99278,                0.88995,                0.98904,                0.98264,                 0.9888,                 0.7756,                0.53909,                0.71341,                0.34352,                0.81629,              0.0096881,              0.0096881,              0.0096881
                     65,                0.48204,                0.47946,                0.31602,                0.80706,                      1,                0.98498,                0.99314,                 0.8935,                0.99603,                0.98611,                0.99003,                 0.7896,                0.53909,                0.72528,                 0.3272,                0.81481,              0.0096832,              0.0096832,              0.0096832
                     66,                0.46574,                 0.4807,                 0.3007,                0.80118,                0.99922,                0.98958,                 0.9949,                0.89398,                0.99571,                0.98611,                0.99018,                0.78523,                0.54003,                0.73905,                0.32368,                0.81499,              0.0096783,              0.0096783,              0.0096783
                     67,                0.47726,                0.47386,                0.31025,                0.79985,                0.99879,                0.98264,                0.99305,                0.89532,                0.99526,                0.97917,                0.98934,                0.78852,                0.53856,                0.75558,                0.33678,                0.81678,              0.0096733,              0.0096733,              0.0096733
                     68,                0.46587,                0.44772,                0.31835,                 0.8038,                0.99941,                0.98611,                0.99096,                0.88503,                0.99587,                0.98264,                0.98929,                0.78416,                 0.5271,                0.70366,                0.32212,                0.81763,              0.0096684,              0.0096684,              0.0096684
                     69,                 0.4688,                 0.4727,                0.30637,                0.80389,                0.99932,                0.98958,                0.99493,                0.88789,                0.99581,                0.98611,                0.99242,                0.79546,                0.53007,                0.71626,                0.31975,                0.81315,              0.0096634,              0.0096634,              0.0096634
